Ordem de prod,Ref. do Artigo,Duração da ordem,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro (mm),Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos,Total Empacotado,Total Não Empacotado,Defeitos Inspeção Eventual,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
192970,C0516.0000R,9,2125.51,169.91,125.51,30.97,3887.0447,178.79,1056298,384300,671998,2148,1,1,437,4,0,31,7,12,77,176,0,28,53,68,54,6,2
193112,C1164.0000R,3,2173.68,168.17,88.73,38.57,3422.3161,44.73,266234,207900,58334,584,0,0,259,0,0,0,0,2,35,22,0,9,0,0,0,0,0
193164,C1280.0000R,12,2119.41,147.47,100.12,35.43,3547.2516,236.13,1606760,1029000,577760,2661,15,2,851,0,63,3,19,33,43,129,1,220,5,0,0,1,2
193206,C1284.0000R,4,2170.66,171.15,90.4,36.88,3333.952,74.31,433696,181440,252256,1041,0,0,245,0,20,3,0,10,26,6,0,65,1,0,1,0,0
193207,C1298.0000R,10,2139.29,170.87,98.23,36.56,3591.2888000000003,136.92,801258,406080,395178,2130,4,1,754,0,5,8,4,45,27,87,0,79,0,0,0,0,0
193208,C0104.0000R,2,2176.32,122.1,61.0,27.45,1674.45,19.74,161700,104500,57200,369,0,0,48,0,0,0,0,2,4,17,0,3,0,0,0,0,2
193209,C0509.0000R,7,2131.82,191.36,44.37,12.19,540.8702999999999,121.81,638540,194250,444290,1807,16,21,366,0,74,0,27,35,130,92,2,30,0,2,0,39,0
193342,C0516.0000R,20,2125.33,169.96,114.87,33.44,3841.2528,408.76,2409182,1459500,949682,3685,2,2,1158,20,0,3,0,247,123,506,0,122,61,92,11,24,8
193368,C1137.0000R,7,2158.78,171.59,77.51,33.83,2622.1633,147.66,861898,627200,234698,1464,0,7,439,0,0,2,0,9,13,28,0,146,0,0,0,0,0
193459,C0068.0000R,3,2148.19,190.83,96.67,37.57,3631.8919,37.59,194712,86400,108312,505,0,0,104,0,0,0,1,5,6,31,0,13,0,0,0,0,0
193462,C1284.0000R,5,2168.48,172.44,86.08,40.2,3460.416,90.98,527382,262080,265302,1241,3,0,182,1,30,0,0,4,7,206,0,121,0,0,0,0,1
193463,C1298.0000R,8,2179.18,172.2,93.64,38.75,3628.55,109.4,633902,365760,268142,1483,3,0,619,0,10,0,0,4,34,13,0,109,0,0,0,0,0
193533,C1165.0000R,8,2133.04,196.69,97.51,38.26,3730.7326,167.97,853558,595200,258358,1480,6,3,577,0,0,1,0,7,38,4,0,63,0,0,0,0,0
193535,C1332.0000V,3,2154.64,116.43,84.0,33.6,2822.4,48.01,411244,182400,228844,688,1,0,150,1,0,0,4,26,17,11,0,0,3,0,0,0,8
193537,C1203.0000R,3,2169.49,173.9,81.03,39.53,3203.1159,50.79,292862,149600,143262,718,1,12,157,0,0,0,0,1,35,2,0,72,0,0,0,0,0
193594,C1137.0000R,7,2148.84,171.81,90.74,39.3,3566.0819999999994,128.65,750190,588000,162190,1304,3,1,404,0,0,0,0,1,23,31,0,94,0,0,0,0,1
193619,C0121.0000R,5,2134.25,192.58,97.54,39.26,3829.4204,107.62,558992,330750,228242,963,4,3,353,0,0,1,2,24,22,5,0,25,0,0,0,0,0
193671,C0593.0000R,4,2131.94,193.02,98.28,38.17,3751.3476,47.03,243914,148050,95864,776,0,5,244,0,0,0,0,17,14,0,0,5,0,0,0,0,0
193686,C1239.0000V,3,2139.48,124.1,63.9,32.33,2065.887,39.72,318788,180600,138188,755,0,0,132,0,0,0,0,0,136,29,0,14,0,0,0,0,17
193688,C1349.0000V,3,2116.02,202.47,76.57,38.13,2919.6141,41.72,206626,105600,101026,616,0,0,156,0,2,0,2,2,29,17,0,13,0,0,0,0,1
193689,C1299.0000R,3,2144.94,161.77,97.67,34.13,3333.4771000000005,46.92,289614,103680,185934,872,0,0,128,1,0,0,6,6,24,46,0,46,0,0,0,10,1
193692,C0139.0000R,3,2180.91,158.03,89.23,36.7,3274.7410000000004,43.5,276162,145200,130962,672,0,0,142,0,0,0,1,0,24,69,0,17,0,0,0,0,1
193694,C0529.0000R,5,2185.89,151.22,88.16,37.24,3283.0784,90.77,600586,415200,185386,1001,3,0,377,0,0,0,0,8,62,64,0,27,1,0,0,0,8
193782,C1265.0000R,11,2155.04,132.28,73.79,38.35,2829.846500000001,187.15,1414754,889600,525154,2538,0,5,729,25,0,5,2,21,520,3,0,174,0,0,0,0,100
193783,C1215.0000R,3,2163.44,188.67,107.8,35.67,3845.226,60.14,318770,107100,211670,887,0,1,182,0,0,0,0,1,37,41,0,32,0,0,0,0,0
193784,C1203.0000R,11,2136.07,174.43,92.07,39.18,3607.3026,191.16,1096874,794200,302674,2073,5,0,872,0,0,2,1,27,56,8,0,142,1,1,1,0,3
193852,C1267.0000R,5,2116.76,198.52,91.56,39.16,3585.4896,86.13,434496,336000,98496,1123,0,0,357,0,0,0,0,16,8,78,0,52,0,0,0,0,0
193882,C1268.0000R,8,2139.09,136.54,75.85,37.52,2845.892,152.83,1120818,781200,339618,1716,0,3,686,3,3,0,0,23,79,11,0,42,0,0,0,0,11
193937,C1172.0000R,3,2137.0,173.13,95.77,36.07,3454.4239,47.54,274688,141120,133568,622,5,2,167,0,0,0,0,4,2,9,0,22,0,0,0,0,2
193972,C1203.0000R,2,2140.73,173.95,74.0,38.05,2815.7,44.6,257950,138600,119350,520,4,2,149,0,0,0,2,7,45,1,0,27,0,0,0,2,8
193973,C1165.0000R,4,2133.13,196.38,105.38,37.65,3967.557,92.51,471278,295200,176078,802,0,0,214,0,0,2,1,5,25,26,0,78,0,0,0,0,1
194029,C0132.0000R,4,2144.54,180.0,101.78,37.67,3834.0526,81.26,452828,248640,204188,821,2,0,238,0,0,0,1,13,9,9,0,79,1,0,0,34,0
194057,C1164.0000R,3,2158.44,169.2,62.87,32.53,2045.1611,66.24,390544,192500,198044,468,0,0,251,0,0,0,1,9,23,25,0,2,0,0,0,0,0
194113,C0104.0000R,3,2165.69,121.27,76.4,32.5,2483.0,37.13,304794,165000,139794,710,0,1,74,2,0,0,8,3,4,26,0,2,0,0,0,0,0
194121,C0516.0000R,6,2149.45,168.88,117.33,33.37,3915.3021,127.02,624892,323400,301492,1436,1,13,291,1,0,3,2,70,20,80,0,88,0,30,9,2,4
